Code EAN article;Code interne;Libell‚ long article;Code rayon;Code famille;Code sous-famille;Code marque;Code du fournisseur;R‚f‚rence fournisseur;Code TVA;Prix d?achat ht brut;Taux de remise;Frais montant;Frais taux;Prix de vente ttc;Unit‚ de mesure;Coefficient unit‚ de mesure;Conditionnement achat;R‚appro mini;R‚appro d‚lai;Article pesable?;Tarif1 ttc supl;Tarif2 ttc supl;Tarif3 ttc supl;Tarif4 ttc supl;Libell‚ court (caisse);Article bloqu‚ en vente;Article bloqu‚ en achat;Promo du;Promo au;Prix promo ht;Prix promo ttc
235474000000    ;500668;SALAMI DANOIS 1.5KG BERNI     ;50;670;11;MN;4;0;2;8.81;;;;12.75;Kg;1;13;;;1;;;;;SALAMI DANOIS 1.5KG BERNI     ;;1;;;;
256627000000    ;560119;POIVRON JAUNE CAT.2 IMPORT    ;56;640;19;MN;20331;0;2;3.8;;;;6.4;Kg;1;1;;;1;;;;;POIVRON JAUNE CAT.2 IMPORT    ;;0;;;;
3264030000000    ;560119;POIVRON JAUNE CAT.2 IMPORT    ;56;640;19;MN;20331;0;2;3.8;;;;6.4;Kg;1;1;;;1;;;;;POIVRON JAUNE CAT.2 IMPORT    ;;0;;;;
3614610000000    ;401551;DH 140X200 BEIGE FONCE I472480;40;535;1;CR;90090;        ;3;8.86;;;;16.9;Unit‚;1;1;;;0;;;;;DH 140X200 BEIGE FONCE I472480;;0;;;;
3154140000000    ;322664;REGLE 20CM MAPED              ;32;400;13;  ;2;0;3;0.38;;;;0.65;Unit‚;1;1;;;0;;;;;REGLE 20CM MAPED              ;;0;;;;
3210330000000    ;322680;REPERTOIRE 96P 11X17CM        ;32;400;3;MN;8;0;3;2.06;;;;3.15;Unit‚;1;1;;;0;;;;;REPERTOIRE 96P 11X17CM        ;;0;;;;
3334960000000    ;318750;TUI DE 10 BOUGIES BLANC       ;31;363;1;MN;20463;0;3;1.68;;;;3.99;Unit‚;1;1;;;0;;;;;TUI DE 10 BOUGIES BLANC       ;;0;;;;
3502110000000    ;118449;SEVEN UP MOJITO PET 50CL      ;11;245;3;MN;515;0;2;0.8;;;;1.05;L;0.5;24;;;0;;;;;SEVEN UP MOJITO PET 50CL      ;;0;;;;
3251220000000    ;270396;CREVETTE ENTIERE C NORD 500G  ;27;750;4;MN;3;0;2;4.79;;;;6.75;Kg;0.5;20;;;0;;;;;CREVETTE ENTIERE C NORD 500G  ;;1;;;;
7630040000000    ;118673;MARTINI ROSATO+CANET 14.4› 1L ;11;220;4;MN;2;0;3;9.16;;;;12.25;L;1;6;;;0;;;;;MARTINI ROSATO+CANET 14.4› 1L ;;1;;;;
3700260000000    ;232295;FOIE GR MI CUIT SNA 250G      ;23;850;13;MN;4;0;2;22.53;;;;27.2;Kg;0.25;20;;;0;;;;;FOIE GR MI CUIT SNA 250G      ;;0;;;;
3010470000000    ;157970;FRISKIES BALANCE PLT 4K+500G  ;14;160;2;MN;395;0;3;9.76;;;;14.65;Kg;4.5;4;;;0;;;;;FRISKIES BALANCE PLT 4K+500G  ;;1;;;;
3385630000000    ;561507;BQT MYRTILLES 125G            ;56;645;6;MN;4;0;2;2.41;;;;4.1;Kg;0.125;12;;;0;;;;;BQT MYRTILLES 125G            ;;0;;;;
5400280000000    ;561507;BQT MYRTILLES 125G            ;56;645;6;MN;4;0;2;2.41;;;;4.1;Kg;0.125;12;;;0;;;;;BQT MYRTILLES 125G            ;;0;;;;
7610630000000    ;561507;BQT MYRTILLES 125G            ;56;645;6;MN;4;0;2;2.41;;;;4.1;Kg;0.125;12;;;0;;;;;BQT MYRTILLES 125G            ;;0;;;;
8717500000000    ;561507;BQT MYRTILLES 125G            ;56;645;6;MN;4;0;2;2.41;;;;4.1;Kg;0.125;12;;;0;;;;;BQT MYRTILLES 125G            ;;0;;;;
3700730000000    ;450611;TONG SUN HOMME                ;45;530;4;MN;20714;0;3;3.99;;;;0;Unit‚;1;1;;;0;;;;;TONG SUN HOMME                ;;0;;;;
3560070000000    ;581596;CAROTTE MOUTARDE ANC CRF 300G ;58;855;4;CR;4;0;2;3.15;;;;3.75;Kg;0.3;6;;;0;;;;;CAROTTE MOUTARDE ANC CRF 300G ;;0;;;;
8001090000000    ;134914;ARIEL COLOR 100D 6.5K         ;12;315;2;MN;2;0;3;20.18;;;;28.25;Kg;6.5;4;;;0;;;;;ARIEL COLOR 100D 6.5K         ;;1;;;;
3781790000000    ;333195;MOTS MEL'                     ;33;930;1;MN;20956;0;1;3.99;;;;4.7;Unit‚;1;1;;;0;;;;;MOTS MEL'                     ;;0;;;;
3760090000000    ;272646;MERGUY'S SAC 1KG              ;27;750;3;MN;3;0;2;4.64;;;;6.75;Kg;1;14;;;0;;;;;MERGUY'S SAC 1KG              ;;1;;;;
3456300000000    ;158949;FARINE DE SARRASIN S/GLUTEN   ;14;155;1;MN;20659;0;2;3.9;;;;5.3;Kg;0.4;6;;;0;;;;;FARINE DE SARRASIN S/GLUTEN   ;;0;;;;
7613030000000    ;153685;CEREALE NESQUICK 500G + 50%GT ;14;30;2;MN;395;0;2;4.45;;;;5.75;Kg;0.75;12;;;0;;;;;CEREALE NESQUICK 500G + 50%GT ;;0;;;;
3780990000000    ;333341;SCIENCE ET INEXPLIQUE  N›63   ;33;930;1;MN;20956;0;1;6.71;;;;7.9;Unit‚;1;1;;;0;;;;;SCIENCE ET INEXPLIQUE  N›63   ;;0;;;;
3608140000000    ;315158;3X140 PIQUES BOIS DISTRIBUTE  ;31;361;1;CR;2;0;3;0.87;;;;1.6;Unit‚;1;1;;;0;;;;;3X140 PIQUES BOIS DISTRIBUTE  ;;0;;;;
4015400000000    ;136223;ALWAYS PS NORMAL 30           ;12;300;4;MN;20810;0;2;2.82;;;;3.8;Unit‚;1;15;;;0;;;;;ALWAYS PS NORMAL 30           ;;0;;;;
3179140000000    ;158618;NOIX DE COCO BIO 115G         ;14;155;1;MN;200;0;2;2.5;;;;3.49;Kg;0.115;10;;;0;;;;;NOIX DE COCO BIO 115G         ;;0;;;;
3560240000000    ;319779;POCHE A DOUILLE X6            ;31;361;1;MN;8;0;3;1.6;;;;0;Unit‚;1;1;;;0;;;;;POCHE A DOUILLE X6            ;;0;;;;
3700240000000    ;581690;AUBERGINE VIANDES 2PC SDT     ;58;855;6;  ;20352;0;2;4.7;;;;6.35;Unit‚;1;1;;;0;;;;;AUBERGINE VIANDES 2PC SDT     ;;0;;;;
3264030000000    ;272891;COTE PORC ECHINE EPS FLOCH 1KG;27;750;3;MN;3;0;2;3.41;;;;4.79;Kg;1;14;;;0;;;;;COTE PORC ECHINE EPS FLOCH 1KG;;0;;;;
3334960000000    ;319281;BOUGIE PARFUMEE 368G          ;31;363;1;MN;20463;0;3;2.99;;;;4.95;Kg;0.368;6;;;0;;;;;BOUGIE PARFUMEE 368G          ;;0;;;;
2401180000000    ;560097;IGNAME COUSCOUCHE CARAIBES    ;56;640;32;MN;36;0;2;3.95;;;;4.45;Kg;1;1;;;1;;;;;IGNAME COUSCOUCHE CARAIBES    ;;0;;;;
3030060000000    ;136463;BROSSE BRUSHING 28MM CERAMIQUE;12;280;8;MN;80;0;3;5.063;;;;7.7;Unit‚;1;4;;;0;;;;;BROSSE BRUSHING 28MM CERAMIQUE;;0;;;;
5000200000000    ;136579;CIRAGE KIWI GLOSS NOIR 50ML   ;12;320;1;MN;80;0;3;1.16;;;;2.59;L;0.05;12;;;0;;;;;CIRAGE KIWI GLOSS NOIR 50ML   ;;1;;;;
8850010000000    ;128536;DENT MAXI FRESH SPICY RGE 75ML;12;285;3;MN;20374;0;3;2.18;;;;2.95;L;0.075;12;;;0;;;;;DENT MAXI FRESH SPICY RGE 75ML;;1;;;;
705372000000    ;137033;MIROIR CARRE COULEUR          ;12;280;9;  ;700;0;3;3.64;;;;0;Unit‚;1;12;;;0;;;;;MIROIR CARRE COULEUR          ;;0;;;;
3154140000000    ;323405;ATTACHES LETTRE COULEUR 32MN M;32;400;1;MN;6026;0;3;0.74;;;;0;Unit‚;1;1;;;0;;;;;ATTACHES LETTRE COULEUR 32MN M;;0;;;;
3781770000000    ;334072;KARATE BUSHIDO 100%           ;33;930;1;MN;20956;0;1;6.14;;;;7;Unit‚;1;1;;;0;;;;;KARATE BUSHIDO 100%           ;;0;;;;
3560240000000    ;310098;FLUTES CHAMPAGNE X12          ;31;361;1;MN;8;0;3;3.5;;;;0;Unit‚;1;1;;;0;;;;;FLUTES CHAMPAGNE X12          ;;0;;;;
3588050000000    ;561669;KIWI BQT X3 BIO               ;56;645;7;MN;90002;0;2;3.37;;;;5.4;Kg;0.04;1;;;0;;;;;KIWI BQT X3 BIO               ;;0;;;;
8750010000000    ;560634;CHOUX BRUXELLE 500G           ;56;640;11;MN;90002;0;2;1.3;;;;2.74;Kg;0.5;1;;;0;;;;;CHOUX BRUXELLE 500G           ;;0;;;;
38276905781    ;136886;DEFRISANT SMOOTH KIT          ;12;280;6;MN;90;0;3;4.5;;;;0;Unit‚;1;6;;;0;;;;;DEFRISANT SMOOTH KIT          ;;0;;;;
3560070000000    ;272948;BAT COLIN RIC CRISP 15X25G CRF;27;750;4;CR;90002;0;2;1.89;;;;2.95;Kg;0.375;1;;;0;;;;;BAT COLIN RIC CRISP 15X25G CRF;;1;;;;
8714790000000    ;131429;DCHE TAHITI MONOI 250ML       ;12;285;2;MN;20374;0;3;2.28;;;;3.1;L;0.25;12;;;0;;;;;DCHE TAHITI MONOI 250ML       ;;1;;;;
3781710000000    ;333912;COUTURE ACTUEL                ;33;930;1;MN;20956;0;1;6.38;;;;7.5;Unit‚;1;1;;;0;;;;;COUTURE ACTUEL                ;;0;;;;
5000200000000    ;137375;GLADE ELEG AER PINK ROSE 300ML;12;320;6;MN;425;0;3;2.65;;;;3.89;L;0.3;6;;;0;;;;;GLADE ELEG AER PINK ROSE 300ML;;0;;;;
8714790000000    ;120526;EAU DE JAVEL LACROIX 5L       ;12;320;12;MN;20374;0;3;6.57;;;;7.9;L;5;3;;;0;;;;;EAU DE JAVEL LACROIX 5L       ;;1;;;;
3664220000000    ;158242;COCKT DE FRTS AU SIR LEG 4040G;14;125;1;MN;20303;0;2;9.65;;;;10.99;Kg;0.404;4;;;0;;;;;COCKT DE FRTS AU SIR LEG 4040G;;0;;;;
5410090000000    ;137557;GEL DCHE FA BEURRE CACAO 250ML;12;285;2;MN;8;0;3;1.49;;;;0;L;0.25;6;;;0;;;;;GEL DCHE FA BEURRE CACAO 250ML;;0;;;;
8710450000000    ;137709;SKIP LSS CAPS HYG 26 DOSTTES  ;12;315;2;MN;20309;0;3;9.9;;;;13.43;Kg;0.702;3;;;0;;;;;SKIP LSS CAPS HYG 26 DOSTTES  ;;0;;;;
4005800000000    ;138079;SPRAY PLAIES HANSAPLAST 100ML ;12;305;1;MN;80;0;3;3.014;;;;4.45;L;0.1;10;;;0;;;;;SPRAY PLAIES HANSAPLAST 100ML ;;0;;;;
3780110000000    ;334600;FLECHES VACANCES              ;33;930;1;MN;20956;0;1;4.25;;;;5;Unit‚;1;1;;;0;;;;;FLECHES VACANCES              ;;0;;;;
3059950000000    ;138276;SCHOLL COFF RAPE+MASQUE HYDRAT;12;305;1;MN;80;0;3;38.86;;;;52.7;Unit‚;1;4;;;0;;;;;SCHOLL COFF RAPE+MASQUE HYDRAT;;0;;;;
8435500000000    ;138197;LESS LIQ.2,6L 40D REGULAR GAMA;12;315;2;MN;2;0;3;5.58;;;;7.89;L;2.6;4;;;0;;;;;LESS LIQ.2,6L 40D REGULAR GAMA;;0;;;;
3781380000000    ;334322;SC SUDOKU DIABOLIC            ;33;930;1;MN;20956;0;1;4.74;;;;5.4;Unit‚;1;1;;;0;;;;;SC SUDOKU DIABOLIC            ;;0;;;;
3478820000000    ;161158;COULIS DE TOMATE 500G JB      ;14;155;1;MN;20659;0;2;2.07;;;;2.85;Kg;0.5;12;;;0;;;;;COULIS DE TOMATE 500G JB      ;;0;;;;
3328730000000    ;110521;RHUM VIEUX B/SHERIFF HSE 70CL ;11;230;9;MN;180;0;3;24.44;;;;0;L;0.7;1;;;0;;;;;RHUM VIEUX B/SHERIFF HSE 70CL ;;0;;;;
3760090000000    ;160656;MUFFINS CACAO TRO BON 300G    ;14;10;7;MN;20078;0;2;2.25;;;;0;Kg;0.3;8;;;0;;;;;MUFFINS CACAO TRO BON 300G    ;;0;;;;
41331024006    ;160961;HARICOT ROUGE GOYA 822G       ;14;130;6;MN;3081;0;2;2.4;;;;3.19;Kg;0.822;12;;;0;;;;;HARICOT ROUGE GOYA 822G       ;;0;;;;
3700130000000    ;138218;ACTIF BOUCLE BIOFUSIUM 250ML  ;12;280;3;MN;8;0;3;4.52;;;;0;L;0.25;6;;;0;;;;;ACTIF BOUCLE BIOFUSIUM 250ML  ;;0;;;;
9782270000000    ;335187;ENTRE MES MAINS LE BONHEUR SE ;33;405;1;MN;20026;0;2;5.43;;;;0;Unit‚;1;1;;;0;;;;;ENTRE MES MAINS LE BONHEUR SE ;;0;;;;
3252970000000    ;161432; COUSCOUS BIO 500G ALPINA     ;14;155;1;MN;90019;0;2;2.42;;;;3.25;Kg;0.5;12;;;0;;;;; COUSCOUS BIO 500G ALPINA     ;;0;;;;
3585750000000    ;332546;SAC CABAS MADRAS GUADELOUPE   ;33;401;1;MN;20232;0;3;1.38;;;;1.5;Unit‚;1;10;;;0;;;;;SAC CABAS MADRAS GUADELOUPE   ;;0;;;;
               ;335199;LA RECHERCHE                  ;33;930;1;MN;20956;0;1;7.57;;;;8.9;Unit‚;1;1;;;0;;;;;LA RECHERCHE                  ;;0;;;;
8691370000000    ;319452;CUILLERE SPLE COMPOSTABLE X20 ;31;361;1;MN;20162;0;3;0.9;;;;0;Unit‚;1;24;;;0;;;;;CUILLERE SPLE COMPOSTABLE X20 ;;0;;;;
9782270000000    ;335166;ET SI C ETAIT VRAI LEVY MARC  ;33;405;1;MN;20026;0;2;6.13;;;;0;Unit‚;1;1;;;0;;;;;ET SI C ETAIT VRAI LEVY MARC  ;;0;;;;
